Review_Text,Sentiment
"The dog had surgery for a tumor. Recovery expected in two months, showing positive signs.",Positive
The dog has a mild case of conjunctivitis. Recovery within a week.,Positive
The dog had a viral infection. Recovered fully in two weeks.,Positive
The dog is suffering from chronic ear problems. No significant improvement after one month.,Negative
The dog had a minor surgery and is recovering well. Expected full recovery in a week.,Positive
The dog had a bad reaction to a flea treatment. Recovered within a few days.,Positive
"The dog had a mild case of mange. Recovery took three weeks, now fine.",Positive
The dog is suffering from gastritis. No significant improvement after two weeks.,Negative
"The dog had a severe case of pneumonia. Recovery took one month, now healthy.",Positive
The dog had a minor injury. Recovered fully within a few days.,Positive
The dog had a respiratory infection. Recovered fully in two weeks.,Positive
The dog is suffering from anxiety. No significant improvement after one month of treatment.,Negative
"The dog had a wound infection. Recovery took one week, now fully healed.",Positive
"The dog had surgery for a tumor. Recovery expected in two months, showing positive signs.",Positive
The dog has a mild case of conjunctivitis. Recovery within a week.,Positive
The dog had a viral infection. Recovered fully in two weeks.,Positive
The dog is suffering from chronic ear problems. No significant improvement after one month.,Negative
The dog had a minor surgery and is recovering well. Expected full recovery in a week.,Positive
The dog had a bad reaction to a flea treatment. Recovered within a few days.,Positive
"The dog had a mild case of mange. Recovery took three weeks, now fine.",Positive
The dog is suffering from gastritis. No significant improvement after two weeks.,Negative
"The dog had a severe case of pneumonia. Recovery took one month, now healthy.",Positive
The dog had a minor injury. Recovered fully within a few days.,Positive
The dog had a respiratory infection. Recovered fully in two weeks.,Positive
The dog is suffering from anxiety. No significant improvement after one month of treatment.,Negative
"The dog had a wound infection. Recovery took one week, now fully healed.",Positive
"The dog had surgery for a tumor. Recovery expected in two months, showing positive signs.",Positive
The dog has a mild case of conjunctivitis. Recovery within a week.,Positive
The dog had a viral infection. Recovered fully in two weeks.,Positive
The dog is suffering from chronic ear problems. No significant improvement after one month.,Negative
The dog had a minor surgery and is recovering well. Expected full recovery in a week.,Positive
The dog had a bad reaction to a flea treatment. Recovered within a few days.,Positive
